"SpatialDimValueCode","Location","FactValueNumeric"
"KOR","Republic of Korea",33.92
"WSM","Samoa",33.96
"PRY","Paraguay",34.02
"IRN","Iran (Islamic Republic of)",34.01
"THA","Thailand",34.02
"GRC","Greece",33.97
"SYC","Seychelles",34
"DZA","Algeria",34.1
"BOL","Bolivia (Plurinational State of)",34.09
"MEX","Mexico",34.12
"SUR","Suriname",34.17
"NIC","Nicaragua",34.16
"VUT","Vanuatu",34.21
"SVK","Slovakia",34.22
"CRI","Costa Rica",34.16
"MYS","Malaysia",34.23
"DOM","Dominican Republic",34.28
"PYF","French Polynesia",34.29
"TTO","Trinidad and Tobago",34.3
"ARM","Armenia",34.29
"ITA","Italy",34.33
